referenceCode,name,code,description,introduction,conclusion,endPhrase,isDynamic,version,allowBackNavigation,allowMultipleSessions,processingStrategy,isActive,tags,workflowId,submissionUrl,startQuestionReferenceCode,metadata
INSURANCE_SERVICE_PREAUTHORIZATION,Insurance Service Preauthorization,INSURANCE_SERVICE_PREAUTHORIZATION,Collect preauthorization details before treatment approval.,Please provide your insurance preauthorization details.,Preauthorization request submitted successfully.,STOP,false,1,true,false,STATIC,true,"[""insurance"",""billing"",""preauthorization""]",,,INSURANCE_SERVICE_PREAUTHORIZATION__patient_number,
WEEKLY_DISEASE_SURVEILLANCE_REPORT,Weekly Disease Surveillance Report,WEEKLY_DISEASE_SURVEILLANCE_REPORT,Capture weekly communicable disease surveillance data.,Enter this week's surveillance report.,Disease surveillance report received.,STOP,false,1,true,false,STATIC,true,"[""public-health"",""surveillance"",""epidemiology""]",,,WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_name,
PATIENT_REGISTRATION,Patient Registration,PATIENT_REGISTRATION,Register a new patient profile for hospital services.,Let's register your patient record.,Patient registration completed.,STOP,false,1,true,false,STATIC,true,"[""registration"",""patient""]",,,PATIENT_REGISTRATION__first_name,
PATIENT_CLOCK_IN,Patient Clock-In,PATIENT_CLOCK_IN,Log patient arrival and triage entry.,Please provide check-in details.,Patient clock-in recorded.,STOP,false,1,true,false,STATIC,true,"[""check-in"",""triage""]",,,PATIENT_CLOCK_IN__patient_number,
APPOINTMENT_SCHEDULING,Appointment Scheduling,APPOINTMENT_SCHEDULING,Book patient appointments with department and physician.,Provide details to schedule your appointment.,Appointment request submitted.,STOP,false,1,true,false,STATIC,true,"[""appointments"",""scheduling""]",,,APPOINTMENT_SCHEDULING__patient_number,
ANALYTICS_REPORT_REQUEST,Analytics Report Request,ANALYTICS_REPORT_REQUEST,Submit requests for operational and clinical analytics.,Tell us the analytics report you need.,Analytics request logged for processing.,STOP,false,1,true,false,STATIC,true,"[""analytics"",""reporting""]",,,ANALYTICS_REPORT_REQUEST__report_category,
CLINICAL_ORDER_CREATION,Clinical Order Creation,CLINICAL_ORDER_CREATION,Capture a structured clinical order.,Enter order details to proceed.,Clinical order created.,STOP,false,1,true,false,STATIC,true,"[""orders"",""clinical""]",,,CLINICAL_ORDER_CREATION__personnel_initiating_order,
ORDER_PAYMENT,Order Payment,ORDER_PAYMENT,Record payment details for a placed order.,Provide payment details for this order.,Order payment recorded successfully.,STOP,false,1,true,false,STATIC,true,"[""orders"",""payment""]",,,ORDER_PAYMENT__order_number,
GET_CURRENT_PRESCRIPTIONS,Get Current Prescriptions,GET_CURRENT_PRESCRIPTIONS,Retrieve active prescriptions for a patient.,Enter details to retrieve current prescriptions.,Prescription query submitted.,STOP,false,1,true,false,STATIC,true,"[""pharmacy"",""prescriptions""]",,,GET_CURRENT_PRESCRIPTIONS__patient_number,
QUERY_LAST_APPOINTMENT_SUMMARY,Query Last Appointment Summary,QUERY_LAST_APPOINTMENT_SUMMARY,Fetch summary of the latest completed appointment.,Provide patient details for last appointment summary.,Last appointment summary request submitted.,STOP,false,1,true,false,STATIC,true,"[""appointments"",""summary""]",,,QUERY_LAST_APPOINTMENT_SUMMARY__patient_number,
